original_title,release_date,vote_average
Fantastic Mr. Fox,"Fri, 10/23/2009",7.8
Sabrina the Teenage Witch,"Sun, 04/07/1996",6.7
Goosebumps,"Wed, 08/05/2015",6.3
I Now Pronounce You Chuck & Larry,"Thu, 07/12/2007",6.0
Monday,"Fri, 09/11/2020",6.7
Police Academy 2: Their First Assignment,"Thu, 03/28/1985",6.1
The Craft: Legacy,"Wed, 10/28/2020",6.2
Still Life,"Thu, 11/28/2013",7.6
Mysterious Skin,"Wed, 03/30/2005",7.5
A Haunting in Venice,"Wed, 09/13/2023",6.8
The Hudsucker Proxy,"Fri, 03/11/1994",7.1
Silence,"Thu, 12/22/2016",7.1
Inside Man,"Fri, 03/17/2006",7.4
Kelce,"Mon, 09/11/2023",7.7
Scooby-Doo! Frankencreepy,"Tue, 08/05/2014",7.8
Little Monsters,"Fri, 08/25/1989",5.8
Bent,"Fri, 03/09/2018",5.3
Bloomington,"Wed, 06/23/2010",6.7
Obi-Wan Kenobi: A Jedi's Return,"Thu, 09/08/2022",6.8
My Big Fat Greek Wedding,"Fri, 04/19/2002",6.5
